,bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isUnmappable,isZillowOwned,latitude,livingArea,longitude,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,unit,zipcode,zpid,taxAssessedValue,zestimate,datePriceChanged,priceChange,priceReduction
10,2.0,3,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,APARTMENT,https://photos.zillowstatic.com/fp/1ad8cfb971416c2ef80016d87e77efa3-p_e.jpg,True,True,False,False,False,False,False,40.45615,1400.0,-79.9261,2995,2995,2195.0,False,PA,333 Lehigh Ave #2,# 2,15232,2079280225,,,,,
11,1.0,2,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,APARTMENT,https://photos.zillowstatic.com/fp/f130072238ceeb8877ff026f1e787ec0-p_e.jpg,False,True,False,False,False,False,False,40.45057,,-80.1144,1250,1250,,False,PA,1465 Old Steubenville Pike #B,# B,15205,2061122184,,,,,
12,1.0,4,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6d26bb52993548abe513f5ca143eb9da-p_e.jpg,False,True,False,False,False,False,False,40.44651,1919.0,-79.89895,2500,2500,2647.0,False,PA,223 Carnegie Pl,,15208,11341130,156800.0,389600.0,1675411200000.0,-500.0,$500 (Feb 3)
13,2.0,3,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,APARTMENT,https://photos.zillowstatic.com/fp/0e02a715ea4e38a10368a846cbad6dab-p_e.jpg,False,True,False,False,False,False,False,40.43421,1650.0,-79.92899,2475,2475,2499.0,False,PA,5541 Beacon St FLOOR 1,Floor 1,15217,2075424395,,,1674547200000.0,75.0,
14,2.0,3,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,APARTMENT,https://photos.zillowstatic.com/fp/6bbf7ce82b42d2563f52ec0d84a557bc-p_e.jpg,True,True,False,False,False,False,False,40.4686,1070.0,-79.91811,1880,1880,4126.0,False,PA,6116 Stanton Ave,,15206,11623060,237200.0,,1672992000000.0,-100.0,$100 (Jan 6)
15,1.5,3,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fa0c88682577a9879c7f257a2cc75bce-p_e.jpg,False,True,False,False,False,False,False,40.42531,1500.0,-79.966675,1650,1650,1529.0,False,PA,2801 Larkins Way,,15203,11292138,101800.0,205300.0,,,
16,1.0,2,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ff150e70ee0980ec2bc75137c0f45c40-p_e.jpg,True,True,False,False,False,False,False,40.468822,1020.0,-80.01838,1300,1300,999.0,False,PA,637 Danbury St,,15214,11498827,43200.0,89600.0,,,
17,1.5,2,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,APARTMENT,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=40.464683532714844,-79.99176025390625&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=5U5YQHuKqWAQZsXoCWD9xpbiwY4=",True,True,False,False,False,False,False,40.464684,910.0,-79.99176,899,899,,False,PA,1806 Rhine St #1804,# 1804,15212,2059547162,,,,,
18,1.0,4,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/44b0e96f82b902bd7d9a8e9b92feb30a-p_e.jpg,True,True,False,False,False,False,False,40.464664,1920.0,-79.9574,1895,1895,1870.0,False,PA,4008 Woolslayer Way,,15224,11514773,72400.0,,,,
19,1.0,2,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=40.431488037109375,-79.95587158203125&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=9cSFTE2tfbf9AMA3tX1Ysq1VHFE=",True,True,False,False,False,False,False,40.431488,1000.0,-79.95587,950,950,1825.0,False,PA,3220 1/2 Hardie Way,,15213,11419823,35900.0,114800.0,,,
20,1.0,2,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,APARTMENT,https://photos.zillowstatic.com/fp/1e352cf90f37652d3dcdddba5728e5f4-p_e.jpg,False,True,False,False,False,False,False,40.403587,1100.0,-79.97899,1350,1350,,False,PA,514 Parallel Ave #2,# 2,15210,2059539319,,,,,
21,1.0,1,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,APARTMENT,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=40.426944732666016,-79.96918487548828&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=g818z_zsoB4GrlrRwf01Gehxn2g=",False,True,False,False,False,False,False,40.426945,750.0,-79.969185,850,850,1673.0,False,PA,2525 Sarah St APT 6,Apt 6,15203,2096869965,,,,,
22,1.0,2,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,APARTMENT,https://photos.zillowstatic.com/fp/b7b6d64d682e38145ede141c4c5ad942-p_e.jpg,False,True,False,False,False,False,False,40.518166,864.0,-80.021194,900,900,1194.0,False,PA,230 Clairmont Ave FLOOR 2,Floor 2,15229,2067564948,,,,,
23,1.0,3,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c00f2f807caa18ebca33ecb4f916173c-p_e.jpg,True,True,False,False,False,False,False,40.422935,1424.0,-79.88332,1135,1135,1485.0,False,PA,7708 Westmoreland Ave,,15218,11345320,22400.0,108000.0,,,
24,1.0,2,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,TOWNHOUSE,https://photos.zillowstatic.com/fp/09248a9cff7705854e2d2d04309bc624-p_e.jpg,False,True,False,False,False,False,False,40.396347,900.0,-80.02095,1000,1000,1095.0,False,PA,2507 Wedgemere St #2,# 2,15226,2100972404,,160400.0,,,
25,1.0,1,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,APARTMENT,https://photos.zillowstatic.com/fp/b9cc8a656722c17d65aa4c29b88a978b-p_e.jpg,False,True,False,False,False,False,False,40.439766,,-79.95635,925,925,,False,PA,252 Atwood St #1,# 1,15213,2080180171,,,1675411200000.0,-50.0,$50 (Feb 3)
26,2.0,2,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/69fb830568ee2b794cfdcadd7b5e61e4-p_e.jpg,False,True,False,False,False,False,False,40.461582,1412.0,-79.99048,1250,1250,1384.0,False,PA,1315 Diana St,,15212,11394607,27700.0,165200.0,,,
